T	sigma(T)
0.1	0.007285989616494618
0.2	0.16656368085237816
0.3	0.3998696571753449
0.4	0.6462774250534064
0.5	0.8982770332920529
0.6	1.1313158006856443
0.7	1.3994540041273216
0.8	1.609336277089977
0.9	1.8540165695704525
1.0	2.1390558298166864
1.1	2.3572999597609807
1.2	2.6336730647017617
1.3	2.8480846576847694
1.4	3.0622486215724853
1.5	3.4012442567137584
1.6	3.5932787330149423
1.7	3.8169865880010057
1.8	4.11509281078007
1.9	4.259101678157024
2.0	4.5248496581563895
2.1	4.73544585140334
2.2	5.064171632632834
2.3	5.3189129991972255
2.4	5.506558153744015
2.5	5.837750544674672
2.6	6.1157627695315275
2.7	6.3072317007704655
2.8	6.504004843468203
2.9	6.798805295879874
3.0	7.003843868941943
3.1	7.289744257060873
3.2	7.226435707019119
3.3	7.604320989714716
3.4	8.066758517040117
3.5	8.37214978966829
3.6	8.558413442063573
3.7	8.72697408351328
3.8	9.117509270087291
3.9	9.374150864878537
4.0	9.637492247472961
4.1	9.808142643567653
4.2	9.993666219426785
4.3	10.6318906764439
4.4	10.532693501456892
4.5	10.676808339863896
4.6	10.944677879648081
4.7	11.363194204611547
4.8	11.620390592705045
4.9	11.856572991151404
5.0	11.812278821336546
5.1	12.234893772647341
5.2	13.060862291618866
5.3	12.755084546988352
5.4	13.096146945606975
5.5	12.909596944192847
5.6	12.799415052758809
5.7	13.77252742303367
5.8	13.416707616931651
5.9	13.7762175616965
6.0	13.757144977109279
6.1	14.695995550935168
6.2	14.825817058379586
6.3	14.814209207967625
6.4	14.97850965114449
6.5	14.560733934678819
6.6	14.633217390013115
6.7	15.500899552189987
6.8	15.20160367047092
6.9	15.526316567267237
7.0	15.610591311689307
7.1	15.294917144669713
7.2	15.408471781097253
7.3	15.124425248592457
7.4	15.3234608528899
7.5	15.321372138661513
7.6	15.134597534259202
7.7	15.254708016552533
7.8	15.170492783564546
7.9	14.709739094652967
8.0	15.169620187772587
8.1	14.890924422262875
8.2	15.065529412970859
8.3	14.69819011997499
8.4	14.86196509302733
8.5	14.578708316486992
8.6	14.695267975219844
8.7	14.494665315311629
8.8	14.00485613246467
8.9	14.013717584504565
9.0	13.970967955373544
9.1	13.823175700019956
9.2	13.364372336580674
9.3	13.275474110880948
9.4	13.109823557536005
9.5	13.206849132616489
9.6	13.148564502172206
9.7	12.888651234512317
9.8	12.675125707893349
9.9	12.71629089879451
10.0	12.469698622080763
